Ort,Bundesland,Land
NA,NA,NA
Birkenfeld,Rheinland-Pfalz,Deutschland
Gießen,Hessen,Deutschland
Nortorf,Schleswig-Holstein,Deutschland
Schönwalde,Mecklenburg-Vorpommern,Deutschland
Bornheim,Nordrhein-Westfalen,Deutschland
Diemelstadt,Hessen,Deutschland
Erkner,Brandenburg,Deutschland
Deutschneudorf,Sachsen,Deutschland
Werder / Havel,Brandenburg,Deutschland
Bad Waldsee,Baden-Württemberg,Deutschland
Bernau,Brandenburg,Deutschland
Dissen am Teutoburger Wald,Niedersachsen,Deutschland
Nideggen,Nordrhein-Westfalen,Deutschland
Kasseedorf,Schleswig-Holstein,Deutschland
Herborn,Hessen,Deutschland
Neuhof,Rheinland-Pfalz,Deutschland
Meschede,Nordrhein-Westfalen,Deutschland
Ahnatal,Hessen,Deutschland
Schönfließ,Brandenburg,Deutschland
Vorderweidenthal,Rheinland-Pfalz,Deutschland
Voerde,Nordrhein-Westfalen,Deutschland
Unterschleißheim,Bayern,Deutschland
Feuchtwangen,Bayern,Deutschland
Rinteln,Niedersachsen,Deutschland
Rüdenau,Bayern,Deutschland
Gusow-Platkow Platkow,Brandenburg,Deutschland
Groß Schacksdorf-Simmersdorf,Brandenburg,Deutschland
Itzehoe,Schleswig-Holstein,Deutschland
Oberneisen,Rheinland-Pfalz,Deutschland
Gilching,Bayern,Deutschland
Wilnsdorf,Nordrhein-Westfalen,Deutschland
Seefeld,Schleswig-Holstein,Deutschland
Wagenfeld,Niedersachsen,Deutschland
Schleusingen,Thüringen,Deutschland
Wiesloch,Baden-Württemberg,Deutschland
Kusel,Rheinland-Pfalz,Deutschland
Babenhausen,Hessen,Deutschland
Rottweil,Baden-Württemberg,Deutschland
Malente,Schleswig-Holstein,Deutschland
Christes,Thüringen,Deutschland
Pöhl,Sachsen,Deutschland
Kreuzbruch,Brandenburg,Deutschland
Wettstetten,Bayern,Deutschland
Jengen,Bayern,Deutschland
Damnatz,Niedersachsen,Deutschland
Niedernhall,Baden-Württemberg,Deutschland
Amberg,Bayern,Deutschland
A-Linz,Niedersachsen,Deutschland
Eppendorf,Sachsen,Deutschland
Groß Dratow,Mecklenburg-Vorpommern,Deutschland
Kloster Lehnin,Brandenburg,Deutschland
Thansau,Bayern,Deutschland
Osterhofen,Bayern,Deutschland
Schwarzhofen,Bayern,Deutschland
Beselich,Hessen,Deutschland
Xanten,Nordrhein-Westfalen,Deutschland
Görlitz,Sachsen,Deutschland
Meldorf,Schleswig-Holstein,Deutschland
Limbach-Oberfrohna,Sachsen,Deutschland
Bruck in der Oberpfalz,Bayern,Deutschland
Springe,Niedersachsen,Deutschland
Heinsberg,Nordrhein-Westfalen,Deutschland
Oldenburg,Niedersachsen,Deutschland
Velbert,Nordrhein-Westfalen,Deutschland
Bad Hindelang,Bayern,Deutschland
Schriesheim,Baden-Württemberg,Deutschland
Hummeltal,Bayern,Deutschland
Gerbitz,Sachsen-Anhalt,Deutschland
Bad Herrenalb,Baden-Württemberg,Deutschland
Glandorf,Niedersachsen,Deutschland
Cremlingen,Niedersachsen,Deutschland
Zingst,Mecklenburg-Vorpommern,Deutschland
Ansbach,Bayern,Deutschland
Los Angeles,NA,NA
Oberhausen,Nordrhein-Westfalen,Deutschland
Fischach,Bayern,Deutschland
Langen,Hessen,Deutschland
Uelzen,Niedersachsen,Deutschland
Gmund am Tegernsee,Bayern,Deutschland
Weiding,Bayern,Deutschland
Kerpen,Nordrhein-Westfalen,Deutschland
Perl,Saarland,Deutschland
Schwarzenbek,Schleswig-Holstein,Deutschland
Schwedt,Nordrhein-Westfalen,Deutschland
Viersen,Nordrhein-Westfalen,Deutschland
Overath,Nordrhein-Westfalen,Deutschland
Barbelroth,Rheinland-Pfalz,Deutschland
Möhrendorf,Bayern,Deutschland
Völklingen,Saarland,Deutschland
Döbeln,Sachsen,Deutschland
Poyenberg,Schleswig-Holstein,Deutschland
Unterroth,Bayern,Deutschland
Zolling,Bayern,Deutschland
Bramsche,Niedersachsen,Deutschland
Voltlage,Niedersachsen,Deutschland
Jüterborg,NA,NA
Arzfeld,Rheinland-Pfalz,Deutschland
Langenstein,Bayern,Deutschland
Alzenau in Unterfranken,Bayern,Deutschland
Bedburg,Nordrhein-Westfalen,Deutschland
Leonberg,Baden-Württemberg,Deutschland
Landau an der Isar,Bayern,Deutschland
Eppingen,Baden-Württemberg,Deutschland
Bopfingen,Baden-Württemberg,Deutschland
Oberbiberg,Bayern,Deutschland
Steinau,Niedersachsen,Deutschland
Quedlinburg,Sachsen-Anhalt,Deutschland
Solingen,Nordrhein-Westfalen,Deutschland
Holtsee,Schleswig-Holstein,Deutschland
Ursensollen,Bayern,Deutschland
Vlotho,Nordrhein-Westfalen,Deutschland
Braschwitz,Sachsen-Anhalt,Deutschland
Bad Soden am Taunus,Hessen,Deutschland
Bonn,Nordrhein-Westfalen,Deutschland
Hameln,Niedersachsen,Deutschland
Neustadt an der Waldnaab,Bayern,Deutschland
Kronach,Bayern,Deutschland
Olpe,Nordrhein-Westfalen,Deutschland
Dissen-Striesow,Brandenburg,Deutschland
Schwerin,Mecklenburg-Vorpommern,Deutschland
Taufkirchen,Bayern,Deutschland
Bad Iburg,Niedersachsen,Deutschland
Gera,Thüringen,Deutschland
Osthofen,Rheinland-Pfalz,Deutschland
Naumburg,Sachsen-Anhalt,Deutschland
Spelle,Niedersachsen,Deutschland
Markt Einersheim,Bayern,Deutschland
Balge,Niedersachsen,Deutschland
Zeuthen,Brandenburg,Deutschland
Hornbek,Schleswig-Holstein,Deutschland
Dresden,Sachsen,Deutschland
Tann,Hessen,Deutschland
Wasserburg am Inn,Bayern,Deutschland
Übach-Palenberg,Nordrhein-Westfalen,Deutschland
Postbauer-Heng,Bayern,Deutschland
Altenburg,Thüringen,Deutschland
Maintal,Hessen,Deutschland
Detmold,Nordrhein-Westfalen,Deutschland
Lauingen (Donau),Bayern,Deutschland
Ahorn,Baden-Württemberg,Deutschland
Lindena,Brandenburg,Deutschland
Allendorf (Eder),Hessen,Deutschland
Ditzingen,Baden-Württemberg,Deutschland
Bad Frankenhausen,Thüringen,Deutschland
Burgwedel,Niedersachsen,Deutschland
Sangerhausen,Sachsen-Anhalt,Deutschland
Rügland,Bayern,Deutschland
Bad Zwesten,Hessen,Deutschland
Fraunberg,Bayern,Deutschland
Windach,Bayern,Deutschland
Herten,Nordrhein-Westfalen,Deutschland
Vreden,Nordrhein-Westfalen,Deutschland
Wuppertal,Nordrhein-Westfalen,Deutschland
Stade,Niedersachsen,Deutschland
Plüderhausen,Baden-Württemberg,Deutschland
Sande,Niedersachsen,Deutschland
Wennigsen,Niedersachsen,Deutschland
Schneverdingen,Niedersachsen,Deutschland
Ingersleben,Sachsen-Anhalt,Deutschland
Adelsried,Bayern,Deutschland
Cochem,Rheinland-Pfalz,Deutschland
Sondermoning,Bayern,Deutschland
Bruchköbel,Hessen,Deutschland
Konstanz,Baden-Württemberg,Deutschland
