Ort,Bundesland,Land
Los Angeles,NA,USA
Jüterborg,NA,Dänemark
CH- Wädenswill,NA,Schweiz
Hong Kong,NA,China
Hess. Oldendorf,Niedersachsen,Deutschland
Rheinfelden,NA,NA
US- Los Angeles,NA,USA
Strasburg,NA,Frankreich
GB-London,NA,Großbritanien
CH-Schindellegi,NA,Schweiz
ZY- Limassol,NA,Zypern
UK- Ascot-Berkshire,NA,Großbritanien
"Pegau, OT Großstorkwitz",Sachsen,Deutschland
Veledn,NA,NA
CH- St. Gallen,NA,Schweiz
London,NA,Großbritanien
Caslano,NA,Schweiz
København,NA,Dänemark
Porza,NA,Schweiz
AT- Salzburg,NA,Österreich
CH- Thalwil,NA,Schweiz
"Neumarkt in der Oberpfalz,Wettstetten",Bayern,Deutschland
Wachau OT Leppersdorf,Sachsen,Deutschland
CH- Suvigliana,NA,Schweiz
CH-Lausanne,NA,Schweiz
Wachsenburggemeinde,Thüringen,Deutschland
CH- Klosters,NA,Schweiz
CH- Bulle,NA,Schweiz
NL- Norderfriedrichskoog,NA,Niederlande
Boxberg/Oberlausitz,Sachsen,Deutschland
CH-Zug,NA,Schweiz
CH- Caslano,NA,Schweiz
Neu Wulmsdorf,Niedersachsen,Deutschland
Soll / Tirol,NA,Österreich
CH- Schindellegi,NA,Schweiz
CH- Ruvigliana,NA,Schweiz
Ringe,NA,NA
"Leuna,Gründau",NA,NA
Wollerau,NA,Schweiz
Gräfelfing/Berlin,NA,NA
OT Rebesgrün,Sachsen,Deutschland
CH- Pontresina,NA,Schweiz
Bork-Lellichow,Brandenburg,Deutschland
Schindellegi,NA,Schweiz
CH-Engelberg,NA,Schweiz
