Bundesland,Betrag,Einwohnerzahlen,BIP,pro_einwohner,bip_pro_einwohner
Baden-Württemberg,22079162.49,10951893,476.27,2.016013349473009,43.487459199975746
Bayern,33122320.87,12930751,569.81,2.56151563586678,44.06627271687468
Berlin,4007921.3,3574830,130.54,1.121150180568027,36.51642175991585
Brandenburg,562644.8,2494648,66.94,0.22554075765398568,26.83344503913979
Bremen,109800,678753,32.06,0.16176724080777544,47.2336770518878
Hamburg,4986043.04,1810438,112.96,2.7540534610961545,62.39374118307283
Hessen,19324957.49,6213088,269.44,3.1103627519841983,43.36651919303252
Mecklenburg-Vorpommern,322210.56,1610674,41.02,0.20004703620968614,25.467599278314545
Niedersachsen,1558163.44,7945685,276.27,0.19610183892263536,34.76981531485328
Nordrhein-Westfalen,19004932.22,17890100,668.91,1.0623155946584981,37.389953102553925
Rheinland-Pfalz,499536.02999999997,4066053,138.5,0.1228552677498301,34.06251713885678
Saarland,1137476.7,996651,34.33,1.1412989100497566,34.44535750227512
Sachsen,479484.5,4081783,118.2,0.11746937551555288,28.957933334525624
Sachsen-Anhalt,119567.42,2236252,59.08,0.05346777554586871,26.419204991208503
Schleswig-Holstein,2742219.52,2881926,89.82,0.9515232243992385,31.16665729793201
Thüringen,551104.59,2158128,59.9,0.2553623279064078,27.75553627959046
